X,Y,t_id,art,druckzone,symbolori,hoehe,einbaujahr,druckzone_bemerkung,lagebestimmung,lagebestimmung_code,eigentuemer,bemerkung,name_nummer,art_code,dimension,zulaessiger_betriebsdruck,zustand,icon_url
7.62326944908494,46.1496335545592,"96",divers (inconnu),Zinal,180.4,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.62325285494064,46.1496701919927,"97",divers (inconnu),Zinal,380.4,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59201771584687,46.196853455431,"98",divers (inconnu),Ayer,205.6,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59217513637148,46.1968282378931,"99",divers (inconnu),Ayer,314,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59211284881977,46.1969608902399,"100",divers (inconnu),Ayer,311.6,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59057797058711,46.2098143683703,"101",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59061692689177,46.2109375846151,"102",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62349732701569,46.1496893612848,"103",divers (inconnu),Zinal,92.7,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.62531454232069,46.140509977385,"104",divers (inconnu),Zinal,100,1667.3,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62504455523416,46.1409499726395,"105",divers (inconnu),Zinal,100,1664.16,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.624845583193,46.1412755617941,"106",divers (inconnu),Zinal,100,1660.08,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62487956812033,46.1416300576682,"107",divers (inconnu),Zinal,100,1656.56,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62497607294584,46.1423081116914,"108",divers (inconnu),Zinal,100,1647.17,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62528015251872,46.1434967009964,"109",divers (inconnu),Zinal,100,1627.24,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62518911835782,46.1432676524928,"110",divers (inconnu),Zinal,100,1631.43,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62522172952838,46.1430089849115,"111",divers (inconnu),Zinal,100,1636.07,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62516662799501,46.1428236317403,"112",divers (inconnu),Zinal,100,1639.87,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.6250781850915,46.1426254067449,"113",divers (inconnu),Zinal,100,1642.9,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62338965188289,46.1496175336652,"114",divers (inconnu),Zinal,111.9,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.63121131905903,46.1362522374264,"115",divers (inconnu),Zinal,100,1761.82,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.63092920111628,46.1368920321389,"116",divers (inconnu),Zinal,100,1753.78,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.63188019859044,46.1359946618284,"117",divers (inconnu),Zinal,100,1782.32,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.62320975825797,46.1497653428967,"118",divers (inconnu),Zinal,380.4,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.63187817742648,46.1381465062801,"119",divers (inconnu),Zinal,100,1787.96,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
