X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.62768265094269,46.1334689301447,"259","1900",,vanne de tronçon,"7","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1677.85,360,unbekannt/inconnue,./0.png
7.62985957844536,46.1297629695453,"260","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.63013738624865,46.1293220681751,"261","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.63013669358148,46.1293200813245,"262","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.63013290560017,46.1293098057883,"263","1900",,vanne de vidange,"11","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.59221616060216,46.190392020168,"264","1900",,vanne de vidange,"11","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1299.37,343.8,unbekannt/inconnue,./0.png
7.59217838701911,46.1903953096567,"265","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1299.34,360,unbekannt/inconnue,./0.png
7.59208972352507,46.1902139882878,"266","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1298.4,360,unbekannt/inconnue,./0.png
7.59208590597174,46.1902089988956,"267","1900",,vanne de vidange,"11","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1298.44,157.3,unbekannt/inconnue,./0.png
7.59206853107199,46.1901993900786,"268","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1298.33,360,unbekannt/inconnue,./0.png
7.59203722732965,46.190075446046,"269","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1297.78,164.6,unbekannt/inconnue,./0.png
7.59201320979623,46.1899862961319,"270","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1297.33,360,unbekannt/inconnue,./0.png
7.59199599574893,46.1899307265866,"271","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1297.05,360,unbekannt/inconnue,./0.png
7.59199502711768,46.1899271026689,"272","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1297.04,360,unbekannt/inconnue,./0.png
7.59198472228556,46.1898827502977,"273","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1296.91,360,unbekannt/inconnue,./0.png
7.5919762252134,46.1898641588753,"274","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1296.82,360,unbekannt/inconnue,./0.png
7.59195165873459,46.1898611065513,"275","1900",,vanne de séparation,"8","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1296.8,360,unbekannt/inconnue,./0.png
7.59197805177995,46.1898549988912,"276","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1296.8,360,unbekannt/inconnue,./0.png
7.59197857948126,46.1898538017643,"277","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1296.81,360,unbekannt/inconnue,./0.png
7.59276454000049,46.1898917247651,"278","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1313.18,360,unbekannt/inconnue,./0.png
7.59277752512674,46.1898987147122,"279","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1313.28,360,unbekannt/inconnue,./0.png
7.59252888091699,46.1898175248118,"280","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1307.75,360,unbekannt/inconnue,./0.png
7.59073280023864,46.2086288384138,"281","1900",,vanne de tronçon,"7","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.59181800523983,46.2067230917082,"282","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,0,208.7,unbekannt/inconnue,./0.png
7.59201521764887,46.2065292851824,"283","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
