X,Y,t_id,name_nummer,art,typ,symbolori,hoehe,einbaujahr,eigentuemer,versorgungsdruck,fliessdruck,druckzone,druckzone_bemerkung,art_code,lagebestimmung,lagebestimmung_code,zustand,icon_url
7.582009573625,46.2100977996969,"269","758",borne hydrant une sortie,,100,0,"2004",inconnue,6,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.56993641289568,46.2215468941329,"270","704",borne hydrant une sortie,,100,0,"1970",inconnue,7,0,St-Jean,EP_Z_6,"1",précis,"0",unbekannt/inconnue,./0.png
7.58895002709904,46.2178812679824,"271","114",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58810968697499,46.2180441094674,"272","126",borne hydrant une sortie,,254.5,0,"2002",inconnue,12.4,0,Vissoie,EP_Z_7,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58303596105472,46.2098735841157,"273","761",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58602544468817,46.2104198024265,"274","101",borne hydrant une sortie,,100,0,"1970",inconnue,6.8,0,Ayer,EP_Z_1,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58275846284017,46.2105738618898,"275","760",borne hydrant une sortie,,100,0,"2004",inconnue,6.6,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57992215636227,46.210887733578,"276","755",borne hydrant une sortie,,100,0,"1970",inconnue,4,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58085523611477,46.2114480093284,"277","754",borne hydrant une sortie,,100,0,"1930",inconnue,6.6,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57828260530884,46.2126841432167,"278","752",borne hydrant une sortie,,100,0,"1970",inconnue,16,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57960439600472,46.2126873642934,"279","753",borne hydrant une sortie,,100,0,"1970",inconnue,7,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57521875302645,46.2153235070521,"280","751",borne hydrant une sortie,,100,0,"1970",inconnue,10,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57387397546373,46.2441814753334,"281","72",borne hydrant une sortie,,100,0,"1970",inconnue,5,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57542447545198,46.2416957503434,"282"," 75",borne hydrant une sortie,,100,0,"1989",inconnue,10.5,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57630836737249,46.2411309061316,"283","76",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57592445486674,46.2605092479174,"284","051",borne hydrant une sortie,,100,0,"1970",inconnue,5,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.59111133420263,46.2080644055146,"285",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Ayer,EP_Z_1,"1",précis,"0",unbekannt/inconnue,./0.png
7.60199670922648,46.2206008483352,"286",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",précis,"0",unbekannt/inconnue,./0.png
7.57441078500154,46.2422157256354,"287"," 74",borne hydrant une sortie,,100,0,"1970",inconnue,8,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.59136823169145,46.2511328170613,"288","624",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.59692697795915,46.2523100469105,"289",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57169400401233,46.254124203122,"290","078",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58568214999473,46.2175718395423,"292",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Vissoie,EP_Z_7,"1",précis,"0",unbekannt/inconnue,./0.png
7.5563602126298,46.2755506647,"293","013",borne hydrant une sortie,,100,0,"2001",inconnue,0,0,Niouc,EP_Z_4,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.55674763561977,46.2687135909616,"294","009",borne hydrant une sortie,,100,0,"2001",inconnue,2.2,0,Niouc,EP_Z_4,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58698400765607,46.2496974389861,"295","627",borne hydrant une sortie,,100,0,"1989",inconnue,13.5,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.55218447455,46.2762925420542,"296","015",borne hydrant une sortie,,100,0,"1989",inconnue,12.5,0,Niouc,EP_Z_4,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.55745481264944,46.2658342570326,"297","010",borne hydrant une sortie,,100,0,"1900",inconnue,5.5,0,Niouc,EP_Z_4,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.55688181795996,46.2647733699321,"298","011",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Niouc,EP_Z_4,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.55785015216644,46.2686944515481,"299","012",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Niouc,EP_Z_4,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.56979472327632,46.2462102638394,"300","071",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58336926939976,46.2471888673081,"301","628",borne hydrant une sortie,,100,0,"1989",inconnue,14.5,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58802060704381,46.2494262133781,"302","626",borne hydrant une sortie,,100,0,"1989",inconnue,14,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.59985184790242,46.2513351155756,"303",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Chandolin,EP_Z_2,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57230340500438,46.2219854029844,"304","701",borne hydrant une sortie,,100,0,"1970",inconnue,8,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5715362672764,46.2214680107843,"305","702",borne hydrant une sortie,,100,0,"1930",inconnue,9,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57047120859354,46.2210525433572,"306","703",borne hydrant une sortie,,100,0,"1970",inconnue,7,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57021111901369,46.2204759886246,"307","705",borne hydrant une sortie,,100,0,"1970",inconnue,7.6,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.59804461908478,46.2200886736785,"308","540",borne hydrant une sortie,,100,0,"1970",inconnue,9,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.6003849535777,46.2195972851636,"309","539",borne hydrant une sortie,,100,0,"1900",inconnue,12.1,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.61183550310329,46.2180151249778,"310","537",borne hydrant une sortie,,197.2,0,"2014",inconnue,16,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.60694156041089,46.2249766617566,"311","544",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.60364130229085,46.2265557365688,"312","543",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.60157153089319,46.2279080663917,"313","542",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58662350527616,46.1978624571151,"314","802",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58657562701874,46.1945548789737,"315","805",borne hydrant une sortie,,100,0,"1989",inconnue,12,0,St-Jean,EP_Z_6,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.60353135379392,46.1821512778761,"316","327",borne hydrant une sortie,,100,0,"2014",inconnue,0,0,Ayer,EP_Z_1,"1",précis,"0",unbekannt/inconnue,./0.png
7.60414270763025,46.1780686916129,"317","326",borne hydrant une sortie,,100,0,"2004",inconnue,2.8,0,Ayer,EP_Z_1,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57651177683313,46.1795448961105,"319","953",borne hydrant une sortie,,100,0,"1989",inconnue,9,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5755694460221,46.1775704498793,"320","916",borne hydrant une sortie,,100,0,"1930",inconnue,8,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.56875820795538,46.1764600085027,"322","947",borne hydrant une sortie,,100,0,"1989",inconnue,7,0,Grimentz,EP_Z_3,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.61076830442612,46.2179814206317,"323",,bouche arrosage,,221.9,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.5810854197569,46.2103221875498,"324",,borne hydrant une sortie,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.5855872015647,46.1979115201686,"325","810",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.60632653615678,46.2195230323853,"326","546",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.63268085582103,46.1362157816452,"327","428",borne hydrant une sortie,,100,0,"2010",inconnue,7.2,0,Zinal,EP_Z_8,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.5811620771184,46.2110661735095,"328",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.57077094260826,46.2199448950369,"329",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",imprécis,"2",unbekannt/inconnue,./0.png
7.56937858449781,46.2201321247898,"330",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.56948049238254,46.2201758384218,"331",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.56980597075818,46.2204348029954,"332",,bouche arrosage,,124.2,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.57021163218187,46.2223302607466,"333",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.57058964774322,46.222083080973,"334",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.57033614311947,46.2219312932648,"335",,bouche arrosage,,100,0,"1900",inconnue,0,0,St-Jean,EP_Z_6,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.60232796299097,46.2208004429211,"336","518",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Saint-Luc,EP_Z_5,"1",imprécis,"2",unbekannt/inconnue,./0.png
7.59227851197238,46.2077531240327,"337","208",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Ayer,EP_Z_1,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57569948765869,46.1790923942257,"338","910",borne hydrant une sortie,,0,,,,,,Grimentz,EP_Z_3,"1",inconnue,"1",,./0.png
7.59286124843908,46.2265615538258,"339","532",borne hydrant une sortie,,0,,"2016",inconnue,,,Saint-Luc,EP_Z_5,"1",inconnue,"1",,./0.png
7.58158956850263,46.211774768006,"340","763",borne hydrant une sortie,,0,,"2016",inconnue,,,St-Jean,EP_Z_6,"1",inconnue,"1",,./0.png
7.55458812701469,46.2688328286954,"341","16",borne hydrant une sortie,,0,,"1900",inconnue,,,Niouc,EP_Z_4,"1",imprécis,"2",,./0.png
7.58041477137648,46.1837990371042,"377",,borne hydrant une sortie,,0,,"1900",inconnue,,,Grimentz,EP_Z_3,"1",imprécis,"2",,./0.png
